onset	duration	CueOnset	ProbeOnset	ITIOnset	CSIDuration	StimDuration	ColorShapeProbe	ProbeRecode	Stimulus	StimulusColor	StimulusShape	StimulusRecode	ButtonPressCode	RespRecode	ReactionTime	CSI	CSIRecode	CorrectResp	Congruency	Switching	CueOnset_noTriggerAdjust	ITIOnset_noTriggerAdjust	ProbeOnset_noTriggerAdjust
56.62045	0.19858	56.62045	56.81903	58.80465	0.19858	1.37835	COLOR	3	redtriangle	red	triangle	2	5	1	1.17977	SHORT	1	1	INCONGRUENT	SWITCH	54.62045	56.80465	54.81903
59.81399	0.198630000000001	59.81399	60.01262	62.01473	0.198630000000001	1.18481	C	1	greencircle	green	circle	3	28	2	0.98618	SHORT	1	1	INCONGRUENT	NOSWITCH	57.81399	60.01473	58.01262
63.00749	1.20798000000001	63.00749	64.21547	66.21761	1.20798000000001	1.76637000000001	COLOR	3	redcircle	red	circle	4	5	1	0.55839	LONG	2	1	CONGRUENT	NOSWITCH	61.00749	64.21761	62.21547
67.21046	0.215119999999999	67.21046	67.42558	69.41122	0.215119999999999	1.10303	C	1	redtriangle	red	triangle	2	5	1	0.88791	SHORT	1	1	INCONGRUENT	NOSWITCH	65.21046	67.41122	65.42558
70.40406	0.215069999999997	70.40406	70.61913	72.62127	0.215069999999997	1.26329	S	2	redtriangle	red	triangle	2	28	2	1.04822	SHORT	1	1	INCONGRUENT	SWITCH	68.40406	70.62127	68.61913
73.61412	0.198539999999994	73.61412	73.81266	75.81484	0.198539999999994	1.10137999999999	SHAPE	4	redtriangle	red	triangle	2	28	2	0.90284	SHORT	1	1	INCONGRUENT	NOSWITCH	71.61412	73.81484	71.81266
76.80765	0.215130000000002	76.80765	77.02278	79.00834	0.215130000000002	1.03398	S	2	greentriangle	green	triangle	1	28	2	0.81885	SHORT	1	1	CONGRUENT	NOSWITCH	74.80765	77.00834	75.02278
80.01772	1.20796	80.01772	81.22568	83.2113	1.20796	1.89277	SHAPE	4	redtriangle	red	triangle	2	28	2	0.68481	LONG	2	1	INCONGRUENT	NOSWITCH	78.01772	81.2113	79.22568
84.22067	1.19138	84.22067	85.41205	87.41419	1.19138	1.73708	COLOR	3	redcircle	red	circle	4	5	1	0.5457	LONG	2	1	CONGRUENT	SWITCH	82.22067	85.41419	83.41205
89.41632	0.198589999999996	89.41632	89.61491	91.61717	0.198589999999996	1.3501	C	1	greencircle	green	circle	3	28	2	1.15151	SHORT	1	1	INCONGRUENT	NOSWITCH	87.41632	89.61717	87.61491
